Date,Model,Epsilon,Batch Size,K Fold,Learning Rate,Epochs,Ratio (test/train),Activation,Train Accuracy,Test Accuracy,Precision True,Precision False,Recall True,Recall Fake,F1 Score True,F1 Score Fake,Classification Loss,Comment,Document Length,Embedding dim
Mon Aug 24 14:27:15 2020,VAT,0.01,32,2,0.001,5,1216/1217,tanh,0.944722980260849,0.6506336358820223,0.6455,0.658,0.72,0.5754999999999999,0.6805,0.614,1.1010000705718994,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 14:34:03 2020,VAT,0.01,32,2,0.001,10,1216/1217,tanh,0.9958904087543488,0.654746153721403,0.6565000000000001,0.6565000000000001,0.704,0.6020000000000001,0.6775,0.626,2.2170000076293945,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 14:38:25 2020,VAT,0.01,32,2,0.005,5,1216/1217,tanh,0.9456399977207184,0.6522800620594214,0.6599999999999999,0.6635,0.6995,0.601,0.671,0.6194999999999999,1.3255000114440918,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 14:45:10 2020,VAT,0.01,32,2,0.005,10,1216/1217,tanh,0.9968015849590302,0.6596776613112485,0.6785000000000001,0.641,0.6505000000000001,0.6695,0.664,0.655,2.3344998359680176,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 14:49:34 2020,VAT,0.01,32,2,0.01,5,1216/1217,tanh,0.9515768885612488,0.6395380816719284,0.652,0.6499999999999999,0.6805,0.5955,0.6555,0.6065,1.2990000247955322,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 14:56:43 2020,VAT,0.01,32,2,0.01,10,1216/1217,tanh,0.9862921833992004,0.6387177404532284,0.6615,0.623,0.629,0.649,0.641,0.6315,1.620500087738037,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 15:15:23 2020,VAT,0.01,32,5,0.001,5,486/1947,tanh,0.9325118780136108,0.689677288513702,0.6926,0.6898,0.726,0.6521999999999999,0.7071999999999999,0.6687999999999998,0.954800009727478,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 15:49:17 2020,VAT,0.01,32,5,0.001,10,486/1947,tanh,0.9924623727798462,0.6802148029845954,0.6986,0.6654,0.6808,0.6815999999999999,0.6876,0.6714,1.8046000003814697,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 16:08:46 2020,VAT,0.01,32,5,0.005,5,486/1947,tanh,0.9484977960586548,0.674466161347293,0.6891999999999999,0.661,0.6798,0.6691999999999999,0.6832,0.6639999999999999,0.9444000124931335,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 16:36:38 2020,VAT,0.01,32,5,0.005,10,486/1947,tanh,0.9912078738212585,0.6802207180943206,0.6938,0.6748000000000001,0.6936,0.6671999999999999,0.6901999999999999,0.6664,1.6983999013900757,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 16:52:15 2020,VAT,0.01,32,5,0.01,5,486/1947,tanh,0.9506670594215393,0.6843342544004192,0.7011999999999999,0.6674000000000001,0.6792,0.6900000000000001,0.6902,0.6780000000000002,1.021799921989441,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 17:18:00 2020,VAT,0.01,32,5,0.01,10,486/1947,tanh,0.9748766541481018,0.6740495686194979,0.6946,0.6614,0.6696,0.6823999999999999,0.6776,0.6684,1.184000015258789,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 17:57:55 2020,VAT,0.01,32,10,0.001,5,243/2190,tanh,0.9288065791130066,0.6859593199757134,0.6972,0.6864999999999999,0.7076,0.6683000000000001,0.6973,0.6714,0.9673999547958374,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 19:29:02 2020,VAT,0.01,32,10,0.001,10,243/2190,tanh,0.9936573207378387,0.6974634014706874,0.7061,0.6904,0.7152000000000001,0.6810999999999999,0.7091,0.6842999999999999,1.6262000799179077,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 20:29:45 2020,VAT,0.01,32,10,0.005,5,243/2190,tanh,0.9513875007629394,0.6793884503811644,0.6929,0.6697000000000001,0.6833,0.6754,0.6857,0.6698999999999999,0.8853999972343445,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 22:00:50 2020,VAT,0.01,32,10,0.005,10,243/2190,tanh,0.9948240935802459,0.6868144100384538,0.7081999999999999,0.6698999999999999,0.6752999999999999,0.702,0.689,0.6834999999999999,1.8559999465942383,Unknown embeddings for words 11820/27644,100,300
Mon Aug 24 22:58:28 2020,VAT,0.01,32,10,0.01,5,243/2190,tanh,0.9471237242221833,0.6855815287053902,0.7055,0.6734000000000001,0.6819999999999999,0.6933,0.6896,0.6793,0.9975999593734741,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 00:20:47 2020,VAT,0.01,32,10,0.01,10,243/2190,tanh,0.9825440585613251,0.6863910814275114,0.6981,0.6765,0.6964,0.6755,0.6956,0.6742,1.4667999744415283,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:24:58 2020,VAT,0.02,32,2,0.001,5,1216/1217,tanh,0.9470040202140808,0.658443432945552,0.659,0.658,0.7035,0.61,0.6805,0.633,1.0945000648498535,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:28:07 2020,VAT,0.02,32,2,0.001,10,1216/1217,tanh,0.9922311902046204,0.6695356084850581,0.6945,0.648,0.6445,0.6970000000000001,0.6675,0.6705000000000001,1.878000020980835,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:30:07 2020,VAT,0.02,32,2,0.005,5,1216/1217,tanh,0.9607143104076385,0.6498187005362626,0.669,0.6315,0.639,0.661,0.6535,0.646,1.2860000133514404,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:33:17 2020,VAT,0.02,32,2,0.005,10,1216/1217,tanh,0.9922344982624054,0.6432323200925485,0.66,0.6265000000000001,0.6415,0.645,0.651,0.635,2.0250000953674316,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:35:15 2020,VAT,0.02,32,2,0.01,5,1216/1217,tanh,0.9598027467727661,0.6625518963802275,0.6485000000000001,0.6835,0.7585,0.56,0.6995,0.6154999999999999,1.1094999313354492,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:38:20 2020,VAT,0.02,32,2,0.01,10,1216/1217,tanh,0.9561614394187927,0.6411716689010941,0.655,0.628,0.657,0.6245,0.6555,0.625,1.5264999866485596,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:45:34 2020,VAT,0.02,32,5,0.001,5,486/1947,tanh,0.931596291065216,0.6904927286401163,0.6834,0.7004,0.75,0.627,0.7144,0.6613999999999999,0.8979999423027039,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 01:57:04 2020,VAT,0.02,32,5,0.001,10,486/1947,tanh,0.9921196341514588,0.6773425947051319,0.6784000000000001,0.6838,0.7262000000000001,0.6288,0.6990000000000001,0.6516,1.7219998836517334,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 02:04:05 2020,VAT,0.02,32,5,0.005,5,486/1947,tanh,0.9425636172294617,0.6604955171918439,0.6816,0.6477999999999999,0.6544000000000001,0.6684000000000001,0.6632,0.6538,0.9335999488830566,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 02:15:35 2020,VAT,0.02,32,5,0.005,10,486/1947,tanh,0.9952033877372741,0.6921405092064458,0.7034,0.6804,0.701,0.6834,0.7016,0.6814,1.7837998867034912,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 02:22:43 2020,VAT,0.02,32,5,0.01,5,486/1947,tanh,0.9417584538459778,0.6613337727414844,0.6806,0.65,0.6634,0.6629999999999999,0.668,0.6526,1.0490000247955322,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 02:34:19 2020,VAT,0.02,32,5,0.01,10,486/1947,tanh,0.9866395235061646,0.6921362841280705,0.6923999999999999,0.6960000000000001,0.7343999999999999,0.6487999999999999,0.7108,0.6698000000000001,1.5562000274658203,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 02:50:05 2020,VAT,0.02,32,10,0.001,5,243/2190,tanh,0.9278929471969605,0.6966521621803954,0.7021,0.6926,0.7196,0.6721999999999999,0.7093999999999999,0.6806,0.9562000036239624,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 03:16:03 2020,VAT,0.02,32,10,0.001,10,243/2190,tanh,0.9940634548664093,0.6941712204007287,0.7015,0.6897,0.7136,0.6748999999999999,0.7054,0.6801,1.6185001134872437,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 03:31:51 2020,VAT,0.02,32,10,0.005,5,243/2190,tanh,0.9462628841400147,0.6806381973959388,0.6927,0.6732,0.6967,0.6661,0.6917000000000001,0.6668,0.9650999903678894,Unknown embeddings for words 11820/27644,100,300
Tue Aug 25 03:58:05 2020,VAT,0.02,32,10,0.005,10,243/2190,tanh,0.9875677585601806,0.6810294812116305,0.7062,0.6611,0.6611,0.7043,0.6803,0.6801,1.6007000207901,Unknown embeddings for words 11820/27644,100,300
